dataset,fold,case,label_1_hd95,label_1_esd_mm,label_1_density_hu
KidneyCyst,fold_1,neg_010.nii.gz,,2.881917031781567,93.41666666666667
KidneyCyst,fold_1,neg_012.nii.gz,,25.974434982474207,8.30348186377844
KidneyCyst,fold_1,neg_017.nii.gz,,2.3895242086649873,61.55555555555556
KidneyCyst,fold_1,neg_021.nii.gz,,29.272043034498058,15.847416178647274
KidneyCyst,fold_1,neg_023.nii.gz,,2.9590736220946625,-13.428571428571429
KidneyCyst,fold_1,neg_025.nii.gz,,35.43372278237698,20.055937951180205
KidneyCyst,fold_1,neg_033.nii.gz,,7.033461251715138,10.363829787234042
KidneyCyst,fold_1,neg_035.nii.gz,,29.740706637294235,7.4921682644454926
KidneyCyst,fold_1,neg_039.nii.gz,,62.37150083094966,7.127745772408563
KidneyCyst,fold_1,neg_043.nii.gz,,36.602396422357266,13.049699670606472
KidneyCyst,fold_1,neg_049.nii.gz,,17.175632654528012,10.333765896703866
KidneyCyst,fold_1,neg_052.nii.gz,,9.57009632821264,34.77541371158392
KidneyCyst,fold_1,neg_068.nii.gz,,39.29032210418454,11.77859202567049
KidneyCyst,fold_1,neg_069.nii.gz,,35.850685217367975,-7.765892338189727
KidneyCyst,fold_1,neg_070.nii.gz,0.0,0.0,
KidneyCyst,fold_1,neg_073.nii.gz,,14.080878077385767,16.98634008478568
KidneyCyst,fold_1,neg_075.nii.gz,,40.56300065094295,13.35112849324357
KidneyCyst,fold_1,neg_076.nii.gz,,10.276549816236123,54.89275687815834
KidneyCyst,fold_1,neg_084.nii.gz,,9.775334430806305,29.527153558052433
KidneyCyst,fold_1,neg_086.nii.gz,,3.4321613866857428,-7.176470588235294
KidneyCyst,fold_1,neg_089.nii.gz,,41.28831573576019,-13.284459986414753
KidneyCyst,fold_1,neg_094.nii.gz,,21.443740412164022,35.80361293750415
KidneyCyst,fold_1,neg_102.nii.gz,,3.1963542104404503,45.595238095238095
KidneyCyst,fold_1,neg_105.nii.gz,,23.14719679285202,18.58658115441539
KidneyCyst,fold_1,neg_109.nii.gz,,16.501758157689157,10.213374805598756
KidneyCyst,fold_1,neg_110.nii.gz,,24.178600385527133,21.09032780979827
KidneyCyst,fold_1,neg_111.nii.gz,,40.59555071854138,12.422875581415306
KidneyCyst,fold_1,neg_118.nii.gz,,52.2045384778004,11.455378746175413
KidneyCyst,fold_1,neg_119.nii.gz,,32.56331215365214,7.6604122777657455
KidneyCyst,fold_2,cyst_001.nii.gz,136.01078113875573,39.75218772898977,8.629871414441148
KidneyCyst,fold_2,cyst_002.nii.gz,128.85914101067362,7.089835689387502,51.91512915129151
KidneyCyst,fold_2,cyst_004.nii.gz,83.56619511424474,11.892411316415709,30.653635652853794
KidneyCyst,fold_2,cyst_013.nii.gz,65.17993639376134,7.880023336552849,17.942857142857143
KidneyCyst,fold_2,cyst_024.nii.gz,69.71101694788653,36.46784028883511,28.604962039045553
