dataset,fold,case,label_1_hd95,label_1_esd_mm,label_1_density_hu,label_2_hd95,label_2_esd_mm,label_2_density_hu,label_3_hd95,label_3_esd_mm,label_3_density_hu,label_4_hd95,label_4_esd_mm,label_4_density_hu
KidneyAbnormalities,fold_1,stone_049.nii.gz,1.0496123026733577,74.54703552205318,74.24251976002286,0.0,0.0,,3.8811709428194665,8.849456763809387,396.1821631878558,0.0,0.0,
KidneyAbnormalities,fold_1,stone_052.nii.gz,1.25,80.96820969516973,32.031829928095746,0.0,0.0,,7.6938949829630445,6.862953445222148,409.18589743589746,0.0,0.0,
KidneyAbnormalities,fold_1,stone_068.nii.gz,1.6322334348748246,76.83227952603049,30.314486269893504,,1.8734254172523928,2.6,4.055666313311723,6.789514586591714,243.03361344537817,0.0,0.0,
KidneyAbnormalities,fold_1,stone_069.nii.gz,1.1518106552921497,90.17786320394086,19.161562842759174,0.0,0.0,,0.814453125,7.340441000617336,373.7982062780269,0.0,0.0,
KidneyAbnormalities,fold_1,stone_070.nii.gz,1.23046875,70.34836854887286,24.58138284187683,0.0,0.0,,0.699999988079071,4.810620440195614,282.5272727272727,0.0,0.0,
KidneyAbnormalities,fold_1,stone_073.nii.gz,1.4537341548445624,83.78484209048025,31.91955184603036,0.0,0.0,,1.25,4.963721305915304,357.5268817204301,0.0,0.0,
KidneyAbnormalities,fold_1,tumor_000.nii.gz,1.0470225671414708,89.32213946999094,120.84794340202457,0.0,0.0,,0.0,0.0,,2.869020962021292,23.806958076547712,127.46086123255675
KidneyAbnormalities,fold_1,tumor_001.nii.gz,1.12971356838007,95.9402697242319,101.50500625177686,,21.037348543358707,15.086131291314876,0.0,0.0,,2.0,21.18637034143117,57.599000384467516
KidneyAbnormalities,fold_1,tumor_009.nii.gz,1.3534465733648762,96.72026519330335,97.20092296151942,,4.033000673257859,60.93333333333333,0.0,0.0,,3.7540717190147572,34.06018501442637,89.54653916816079
KidneyAbnormalities,fold_1,tumor_011.nii.gz,1.4984122456161721,85.8268020257474,139.36428970438595,0.0,0.0,,0.0,0.0,,6.214999654314149,28.04906908483847,121.51013040198298
KidneyAbnormalities,fold_1,tumor_014.nii.gz,23.275563286706436,105.35655768977966,81.1711919737627,,2.5165135195285884,2.5555555555555554,0.0,0.0,,8.218465009614498,110.94362960184574,83.824643756978
KidneyAbnormalities,fold_1,tumor_019.nii.gz,0.9673629182602567,81.99484908545968,116.07018731824144,,21.00520854693159,34.79607122668174,0.0,0.0,,,0.0,
KidneyAbnormalities,fold_1,tumor_027.nii.gz,4.164828747071318,92.46422934202982,95.88739149656669,0.0,0.0,,0.0,0.0,,5.128573404684419,47.079438213225224,81.19435875655698
KidneyAbnormalities,fold_1,tumor_030.nii.gz,1.2937650965302783,87.4356749497184,139.48598586127534,,2.16851986170793,18.533333333333335,0.0,0.0,,1.7210212266267955,47.64662498790056,43.13279492175225
KidneyAbnormalities,fold_1,tumor_034.nii.gz,0.9908717284424672,90.12161243740559,87.83997987372385,,3.5862553202999,10.287878787878787,0.0,0.0,,4.27734375,25.67014111023664,85.89704606486264
KidneyAbnormalities,fold_1,tumor_035.nii.gz,8.225078510501055,88.10445971499847,157.4925882357321,0.0,0.0,,0.0,0.0,,28.263652642023207,65.70736972376419,94.87633829613476
KidneyAbnormalities,fold_1,tumor_036.nii.gz,3.796192249088686,97.09525057066318,132.1181891965463,,17.38632501319571,5.5298230281844,0.0,0.0,,2.0,49.63684341088103,99.03847706680438
