dataset,fold,case,label_1_hd95,label_1_esd_mm,label_1_density_hu
KidneyTumor,fold_1,tumor_057.nii.gz,11.560408178835889,50.690520118789614,98.25791910830635
KidneyTumor,fold_1,tumor_062.nii.gz,202.5093084640834,65.69941453231768,66.81787820010533
KidneyTumor,fold_1,tumor_066.nii.gz,109.92722893884326,109.81436877843254,18.818113478553656
KidneyTumor,fold_1,tumor_068.nii.gz,2.5,38.894782039904335,136.4265599856964
KidneyTumor,fold_1,tumor_070.nii.gz,17.095880183912595,130.05673383963324,27.433308282029248
KidneyTumor,fold_1,tumor_078.nii.gz,57.63082148011302,29.211868257905255,45.44169224024551
KidneyTumor,fold_1,tumor_080.nii.gz,6.559395215257502,38.87928792322895,53.06904393970318
KidneyTumor,fold_1,tumor_084.nii.gz,11.172954239203143,11.14509032004008,142.0946579194002
KidneyTumor,fold_1,tumor_088.nii.gz,8.220441759687171,76.83968011164548,82.22020158998605
KidneyTumor,fold_1,tumor_094.nii.gz,217.46602256600397,25.56903859435166,201.0855851006567
KidneyTumor,fold_1,tumor_097.nii.gz,79.82896285457679,40.51138032780737,60.45328048938095
KidneyTumor,fold_1,tumor_113.nii.gz,3.0,22.23512832918059,144.3747136967476
KidneyTumor,fold_1,tumor_114.nii.gz,162.29147608218386,53.99785862543556,32.040767517937155
KidneyTumor,fold_1,tumor_115.nii.gz,185.60140224222363,45.305563063506696,23.673892554194158
KidneyTumor,fold_1,tumor_118.nii.gz,9.657650247841943,48.91273420692639,67.63515779092702
KidneyTumor,fold_1,tumor_120.nii.gz,3.5485695979374916,70.64097302554647,100.74365722015779
KidneyTumor,fold_1,tumor_121.nii.gz,4.830125906430665,33.776842318264464,106.90749799875478
KidneyTumor,fold_1,tumor_129.nii.gz,60.92818725662751,79.5362324906372,101.09190008034923
KidneyTumor,fold_1,tumor_131.nii.gz,61.82495263294915,27.994634159719432,85.77002859054687
KidneyTumor,fold_1,tumor_134.nii.gz,133.25421218942066,33.25148063978872,8.350720178995944
KidneyTumor,fold_1,tumor_139.nii.gz,15.0,80.63511803020052,79.10417933279727
KidneyTumor,fold_1,tumor_147.nii.gz,,0.0,
KidneyTumor,fold_1,tumor_150.nii.gz,44.84645383970811,22.515363363797615,38.36223971559167
KidneyTumor,fold_1,tumor_154.nii.gz,10.789104928410419,72.74094731102416,65.04859751639951
KidneyTumor,fold_1,tumor_155.nii.gz,111.39631477647288,100.98802933605434,82.47960212387095
KidneyTumor,fold_1,tumor_156.nii.gz,166.07574352653256,10.550595965575466,30.828804347826086
KidneyTumor,fold_1,tumor_163.nii.gz,160.6496323307708,45.44922976677094,74.79764861089555
KidneyTumor,fold_1,tumor_164.nii.gz,1.8223231920837342,18.188497852306664,123.01141804788213
KidneyTumor,fold_2,neg_001.nii.gz,,21.493290462059345,51.27080725907384
KidneyTumor,fold_2,neg_002.nii.gz,,2.7607032990045295,69.1875
KidneyTumor,fold_2,neg_004.nii.gz,0.0,0.0,
KidneyTumor,fold_2,neg_013.nii.gz,0.0,0.0,
KidneyTumor,fold_2,neg_024.nii.gz,0.0,0.0,
KidneyTumor,fold_2,neg_025.nii.gz,0.0,0.0,
KidneyTumor,fold_2,neg_026.nii.gz,,47.8001300379194,-5.1443762427595745
KidneyTumor,fold_2,neg_028.nii.gz,0.0,0.0,
KidneyTumor,fold_2,neg_048.nii.gz,0.0,0.0,
KidneyTumor,fold_2,neg_051.nii.gz,0.0,0.0,
KidneyTumor,fold_2,neg_056.nii.gz,,71.95556820820013,-7.987468907816386
KidneyTumor,fold_2,neg_061.nii.gz,0.0,0.0,
KidneyTumor,fold_2,neg_078.nii.gz,0.0,0.0,
KidneyTumor,fold_2,neg_079.nii.gz,0.0,0.0,
KidneyTumor,fold_2,neg_084.nii.gz,0.0,0.0,
KidneyTumor,fold_2,neg_086.nii.gz,0.0,0.0,
KidneyTumor,fold_2,neg_090.nii.gz,0.0,0.0,
KidneyTumor,fold_2,neg_092.nii.gz,,24.72351474063906,72.83283813460793
KidneyTumor,fold_2,neg_093.nii.gz,,36.555449484425345,121.76710863293027
KidneyTumor,fold_2,neg_094.nii.gz,0.0,0.0,
KidneyTumor,fold_2,neg_095.nii.gz,,3.689835252269808,80.28571428571429
KidneyTumor,fold_2,neg_096.nii.gz,,9.3774302431589,56.266260162601625
KidneyTumor,fold_2,neg_098.nii.gz,0.0,0.0,
KidneyTumor,fold_2,neg_104.nii.gz,0.0,0.0,
